qseqid	sseqid	evalue	bitscore	length	nident	mismatch	gapopen	slength	taxonomy	kingdom	phylum	class	order	family	genus	species	qlength	identity	coverage
ITSall_OTUd_1114	SH526104.07FU_KT380068	1.11e-79	298	297	251	34	9	1888	k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Orbilia;s__Orbilia_sp;	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbilia	NA	290	0.845117845117845	1.02413793103448
ITSall_OTUd_1115	undefined_KX222850	3.67e-54	214	319	243	43	11	344	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	293	0.761755485893417	1.08873720136519
ITSall_OTUd_1117	undefined_KP891005	1.53e-64	248	251	208	35	4	257	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	256	0.828685258964143	0.98046875
ITSall_OTUd_1119	undefined_UDB017844	5.52e-160	565	316	315	1	0	436	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Tomentella;s__Tomentella_umbrinospora;	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_umbrinospora	316	0.996835443037975	1
ITSall_OTUd_112	SH200715.07FU_KX908454	1.03e-85	318	258	227	24	3	1047	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unclassified_Dothideomycetes;f__unclassified_Dothideomycetes;g__unclassified_Dothideomycetes;s__Dothideomycetes_sp;	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA	256	0.87984496124031	1.0078125
ITSall_OTUd_1120	SH029165.07FU_U65610	1.21e-98	361	320	276	29	7	620	k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Septobasidiales;f__Septobasidiaceae;g__unclassified_Septobasidiaceae;s__Septobasidiaceae_sp;	Fungi	Basidiomycota	Pucciniomycetes	Septobasidiales	Septobasidiaceae	NA	NA	313	0.8625	1.0223642172524
ITSall_OTUd_1124	SH205356.07FU_KF435514	3.98e-72	273	266	223	38	4	1053	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unclassified_Dothideomycetes;f__unclassified_Dothideomycetes;g__unclassified_Dothideomycetes;s__Dothideomycetes_sp;	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA	264	0.838345864661654	1.00757575757576
ITSall_OTUd_1125	SH205432.07FU_EF419944	4.28e-103	376	251	236	11	3	665	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unclassified_Dothideomycetes;f__unclassified_Dothideomycetes;g__unclassified_Dothideomycetes;s__Dothideomycetes_sp;	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA	251	0.940239043824701	1
ITSall_OTUd_1126	undefined_KP897258	4.78e-109	396	251	239	11	1	315	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	261	0.952191235059761	0.961685823754789
ITSall_OTUd_1127	SH531852.07FU_KU579985	7.14e-126	452	264	260	2	2	618	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	263	0.984848484848485	1.00380228136882
ITSall_OTUd_1128	undefined_JQ029688	4.24e-22	107	194	144	26	9	318	k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Pucciniales;f__Pucciniastraceae;g__Pucciniastrum;s__Pucciniastrum_circaeae;	Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniastraceae	Pucciniastrum	Pucciniastrum_circaeae	314	0.742268041237113	0.617834394904459
ITSall_OTUd_1129	undefined_KX192790	2.53e-55	217	253	204	30	8	289	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	251	0.806324110671937	1.00796812749004
ITSall_OTUd_113	SH177843.07FU_JF304372	1.59e-160	567	317	316	1	0	634	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__unclassified_Thelephoraceae;s__Thelephoraceae_sp;	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	NA	NA	317	0.996845425867508	1
ITSall_OTUd_1130	SH495821.07FU_UDB028052	2.77e-99	363	257	236	19	2	531	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Devriesia;s__Devriesia_sp;	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Devriesia	NA	257	0.918287937743191	1
ITSall_OTUd_1131	SH029551.07FU_EU517014	0	722	419	413	4	2	1485	k__Fungi;p__Chytridiomycota;c__unclassified_Chytridiomycota;o__unclassified_Chytridiomycota;f__unclassified_Chytridiomycota;g__unclassified_Chytridiomycota;s__Chytridiomycota_sp;	Fungi	Chytridiomycota	NA	NA	NA	NA	NA	417	0.985680190930788	1.00479616306954
ITSall_OTUd_1132	SH476313.07FU_AB427190	4.48e-21	104	64	62	1	1	1267	k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Exobasidiales;f__Brachybasidiaceae;g__Dicellomyces;s__Dicellomyces_gloeosporus;	Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiales	Brachybasidiaceae	Dicellomyces	Dicellomyces_gloeosporus	276	0.96875	0.231884057971014
ITSall_OTUd_1134	SH010569.07FU_KJ832031	8.76e-75	282	309	254	35	10	774	k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Septobasidiales;f__Septobasidiaceae;g__Septobasidium;s__Septobasidium_sp;	Fungi	Basidiomycota	Pucciniomycetes	Septobasidiales	Septobasidiaceae	Septobasidium	NA	297	0.822006472491909	1.04040404040404
ITSall_OTUd_1135	SH029163.07FU_GU291279	1.55e-122	441	309	283	26	0	550	k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Septobasidiales;f__Septobasidiaceae;g__Septobasidium;s__Septobasidium_burtii;	Fungi	Basidiomycota	Pucciniomycetes	Septobasidiales	Septobasidiaceae	Septobasidium	Septobasidium_burtii	309	0.915857605177994	1
ITSall_OTUd_1136	undefined_KX195803	2.08e-120	434	288	271	12	3	342	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	283	0.940972222222222	1.01766784452297
ITSall_OTUd_1137	SH014729.07FU_JN225935	1.58e-121	437	255	250	5	0	567	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__unclassified_Hyaloscyphaceae;s__Hyaloscyphaceae_sp;	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	NA	NA	264	0.980392156862745	0.965909090909091
ITSall_OTUd_1139	undefined_KX195497	1.34e-71	271	258	217	37	3	310	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	255	0.84108527131783	1.01176470588235
ITSall_OTUd_1141	SH493756.07FU_KT222385	1.26e-110	401	294	270	12	7	1578	k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliales_fam_Incertae_sedis;g__Lecophagus;s__Lecophagus_sp;	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliales_fam_Incertae_sedis	Lecophagus	NA	289	0.918367346938776	1.01730103806228
ITSall_OTUd_1142	SH212023.07FU_KY103407	5.41e-115	416	276	260	12	3	664	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Cuniculitremaceae;g__Fellomyces;s__Fellomyces_horovitziae;	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cuniculitremaceae	Fellomyces	Fellomyces_horovitziae	275	0.942028985507246	1.00363636363636
ITSall_OTUd_1143	undefined_KT244138	1.05e-85	318	257	228	25	4	275	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	260	0.88715953307393	0.988461538461539
ITSall_OTUd_1144	SH025566.07FU_KY103412	4.08e-53	210	271	216	34	11	657	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Sirobasidiaceae;g__Fibulobasidium;s__Fibulobasidium_murrhardtense;	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Sirobasidiaceae	Fibulobasidium	Fibulobasidium_murrhardtense	270	0.797047970479705	1.0037037037037
ITSall_OTUd_1146	SH463594.07FU_HQ902156	5.52e-121	435	264	255	9	0	531	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Rhytismatales;f__Rhytismataceae;g__Lirula;s__Lirula_yunnanensis;	Fungi	Ascomycota	Leotiomycetes	Rhytismatales	Rhytismataceae	Lirula	Lirula_yunnanensis	264	0.965909090909091	1
ITSall_OTUd_1148	SH029165.07FU_U65610	2e-108	394	314	280	26	6	620	k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Septobasidiales;f__Septobasidiaceae;g__unclassified_Septobasidiaceae;s__Septobasidiaceae_sp;	Fungi	Basidiomycota	Pucciniomycetes	Septobasidiales	Septobasidiaceae	NA	NA	308	0.89171974522293	1.01948051948052
ITSall_OTUd_1149	undefined_KX908232	7.1e-69	262	270	227	23	11	1046	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unclassified_Dothideomycetes;f__unclassified_Dothideomycetes;g__unclassified_Dothideomycetes;s__Dothideomycetes_sp;	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA	261	0.840740740740741	1.03448275862069
ITSall_OTUd_1153	undefined_KX777119	6.55e-89	329	249	227	10	7	250	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	290	0.911646586345382	0.858620689655172
ITSall_OTUd_1154	undefined_KM493867	3.25e-74	280	331	266	42	10	325	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	314	0.803625377643505	1.05414012738854
ITSall_OTUd_1158	undefined_KJ827233	2.34e-119	430	263	255	3	3	296	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__unclassified_Chaetothyriales;g__unclassified_Chaetothyriales;s__Chaetothyriales_sp;	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA	263	0.96958174904943	1
ITSall_OTUd_1159	SH027342.07FU_HQ599594	1.04e-123	444	251	249	2	0	644	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Phaeothecoidea;s__Phaeothecoidea_melaleuca;	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Phaeothecoidea	Phaeothecoidea_melaleuca	259	0.99203187250996	0.969111969111969
ITSall_OTUd_116	undefined_KT196236	1.09e-91	338	252	231	11	7	263	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	254	0.916666666666667	0.992125984251969
ITSall_OTUd_1160	SH015552.07FU_AY971710	3.42e-117	423	258	249	6	1	504	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Phaeomoniellales;f__Phaeomoniellaceae;g__Phaeomoniella;s__Phaeomoniella_sp;	Fungi	Ascomycota	Eurotiomycetes	Phaeomoniellales	Phaeomoniellaceae	Phaeomoniella	NA	260	0.965116279069767	0.992307692307692
ITSall_OTUd_1161	SH195492.07FU_KX908623	3.3e-117	423	252	245	7	0	1107	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__unclassified_Eurotiomycetes;f__unclassified_Eurotiomycetes;g__unclassified_Eurotiomycetes;s__Eurotiomycetes_sp;	Fungi	Ascomycota	Eurotiomycetes	NA	NA	NA	NA	252	0.972222222222222	1
ITSall_OTUd_1162	SH195490.07FU_GQ154587	4.39e-72	273	289	237	23	9	555	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Phaeomoniellales;f__Phaeomoniellaceae;g__Celerioriella;s__Celerioriella_prunicola;	Fungi	Ascomycota	Eurotiomycetes	Phaeomoniellales	Phaeomoniellaceae	Celerioriella	Celerioriella_prunicola	288	0.820069204152249	1.00347222222222
ITSall_OTUd_1164	undefined_KT243593	6.87e-31	136	258	186	42	7	272	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	253	0.720930232558139	1.0197628458498
ITSall_OTUd_1165	SH000686.07FU_KU975486	2.67e-119	430	298	279	13	6	724	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Hymenochaetaceae;g__Hymenochaete;s__Hymenochaete_yunnanensis;	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Hymenochaete	Hymenochaete_yunnanensis	297	0.936241610738255	1.003367003367
ITSall_OTUd_1166	undefined_KU061653	5.43e-115	416	264	253	8	3	262	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	276	0.958333333333333	0.956521739130435
ITSall_OTUd_1167	undefined_KU534636	2e-21	105	66	63	3	0	930	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	415	0.954545454545455	0.159036144578313
ITSall_OTUd_1169	SH211451.07FU_HE672151	1.09e-34	149	266	198	36	12	503	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariales_fam_Incertae_sedis;g__Cordana;s__Cordana_verruculosa;	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Cordana	Cordana_verruculosa	253	0.744360902255639	1.05138339920949
ITSall_OTUd_117	SH198203.07FU_KT264695	2.96e-124	446	257	253	4	0	561	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Sporocadaceae;g__Pestalotiopsis;s__Pestalotiopsis_sp;	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	NA	257	0.98443579766537	1
ITSall_OTUd_1171	SH012363.07FU_AB986442	4.88e-90	333	272	241	16	7	1271	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__unclassified_Eurotiales;g__unclassified_Eurotiales;s__Eurotiales_sp;	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA	266	0.886029411764706	1.02255639097744
ITSall_OTUd_1173	undefined_KT244702	1.89e-101	370	261	241	16	3	275	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	259	0.923371647509579	1.00772200772201
ITSall_OTUd_1175	SH190079.07FU_KF800177	1.13e-129	464	262	260	2	0	766	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	262	0.99236641221374	1
ITSall_OTUd_1178	undefined_KY462793	4.26e-91	336	266	236	25	3	1883	k__Fungi;p__Ascomycota;c__unclassified_Ascomycota;o__unclassified_Ascomycota;f__unclassified_Ascomycota;g__unclassified_Ascomycota;s__Pezizomycotina;	Fungi	Ascomycota	NA	NA	NA	NA	Pezizomycotina	281	0.887218045112782	0.94661921708185
ITSall_OTUd_118	SH025807.07FU_AJ608670	1.26e-135	484	273	271	2	0	542	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Cuniculitremaceae;g__Fellomyces;s__Fellomyces_sp;	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cuniculitremaceae	Fellomyces	NA	273	0.992673992673993	1
ITSall_OTUd_1181	undefined_KX222840	4.53e-122	439	251	248	3	0	270	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	264	0.98804780876494	0.950757575757576
ITSall_OTUd_1183	undefined_KX194981	1.44e-21	105	148	116	21	6	401	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	306	0.783783783783784	0.483660130718954
ITSall_OTUd_119	undefined_KU188661	3.56e-105	383	305	272	19	7	311	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	303	0.891803278688525	1.00660066006601
ITSall_OTUd_1192	undefined_KT196392	5.66e-127	455	255	254	1	0	270	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	255	0.996078431372549	1
ITSall_OTUd_1195	SH214607.07FU_KT275622	1.05e-149	531	294	294	0	0	581	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinaceae;g__Sebacina;s__Sebacina_sp;	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	NA	294	1	1
ITSall_OTUd_1198	undefined_KU064083	8.12e-100	365	268	243	17	3	282	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	262	0.906716417910448	1.02290076335878
ITSall_OTUd_1199	SH181086.07FU_JX535164	7.68e-75	282	266	225	36	4	492	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;s__Hyaloscypha_sp;	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	NA	264	0.845864661654135	1.00757575757576
ITSall_OTUd_12	undefined_KX221170	6.06e-166	585	324	324	0	0	355	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	324	1	1
ITSall_OTUd_120	SH206583.07FU_UDB025873	1.15e-142	508	284	283	1	0	664	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Atheliaceae;g__Amphinema;s__Amphinema_sp;	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Amphinema	NA	284	0.996478873239437	1
ITSall_OTUd_1200	undefined_KX193623	2.19e-113	410	263	250	10	2	313	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	263	0.950570342205323	1
ITSall_OTUd_1203	SH216342.07FU_GQ981505	1.21e-155	551	315	311	4	0	696	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Gomphales;f__Lentariaceae;g__Kavinia;s__Kavinia_alboviridis;	Fungi	Basidiomycota	Agaricomycetes	Gomphales	Lentariaceae	Kavinia	Kavinia_alboviridis	315	0.987301587301587	1
ITSall_OTUd_1205	undefined_KX195560	3.19e-30	134	170	134	32	3	372	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	327	0.788235294117647	0.519877675840979
ITSall_OTUd_1209	undefined_KM493259	5.31e-52	206	300	228	49	7	291	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	286	0.76	1.04895104895105
ITSall_OTUd_121	undefined_KM494296	3.39e-92	340	273	238	15	3	253	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	273	0.871794871794872	1
ITSall_OTUd_1211	undefined_KP897391	1.12e-136	488	275	274	0	1	275	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	294	0.996363636363636	0.935374149659864
ITSall_OTUd_1212	SH205426.07FU_HF947037	3.09e-111	403	252	242	8	2	578	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	252	0.96031746031746	1
ITSall_OTUd_1213	undefined_KP898028	1.84e-101	370	256	237	10	3	324	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	254	0.92578125	1.00787401574803
ITSall_OTUd_1214	undefined_KX222780	1.97e-107	390	251	237	14	0	299	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	254	0.944223107569721	0.988188976377953
ITSall_OTUd_1215	SH208871.07FU_JX043104	1.43e-65	251	292	237	30	11	653	k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__unclassified_Orbiliomycetes;f__unclassified_Orbiliomycetes;g__unclassified_Orbiliomycetes;s__Orbiliomycetes_sp;	Fungi	Ascomycota	Orbiliomycetes	NA	NA	NA	NA	288	0.811643835616438	1.01388888888889
ITSall_OTUd_1216	SH213261.07FU_KP889599	3.83e-123	443	272	263	7	2	758	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Cladophialophora;s__Cladophialophora_sp;	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	NA	271	0.966911764705882	1.00369003690037
ITSall_OTUd_1219	SH206113.07FU_AY843092	6.43e-89	329	224	211	7	5	519	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	285	0.941964285714286	0.785964912280702
ITSall_OTUd_122	SH199796.07FU_KT759203	2.2e-95	351	330	279	18	10	625	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__unclassified_Hygrophoraceae;s__Hygrophoraceae_sp;	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	NA	NA	315	0.845454545454545	1.04761904761905
ITSall_OTUd_1220	undefined_KP117298	9.71e-125	448	251	250	1	0	425	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Chaetomellaceae;g__Pilidium;s__Pilidium_concavum;	Fungi	Ascomycota	Leotiomycetes	Helotiales	Chaetomellaceae	Pilidium	Pilidium_concavum	290	0.99601593625498	0.86551724137931
ITSall_OTUd_1222	undefined_KX194144	1.57e-160	567	314	314	0	0	367	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	314	1	1
ITSall_OTUd_1223	SH186775.07FU_JN859243	3.92e-129	462	261	259	2	0	593	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Cadophora;s__Cadophora_sp;	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Cadophora	NA	261	0.992337164750958	1
ITSall_OTUd_1228	SH016863.07FU_KC965287	5.52e-102	372	265	243	19	2	1118	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__unclassified_Capnodiales;g__unclassified_Capnodiales;s__Capnodiales_sp;	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA	264	0.916981132075472	1.00378787878788
ITSall_OTUd_1229	undefined_KJ827547	3.04e-86	320	274	238	25	5	288	k__Fungi;p__Ascomycota;c__unclassified_Ascomycota;o__unclassified_Ascomycota;f__unclassified_Ascomycota;g__unclassified_Ascomycota;s__Ascomycota_sp;	Fungi	Ascomycota	NA	NA	NA	NA	NA	263	0.868613138686131	1.04182509505703
ITSall_OTUd_1230	undefined_KX221212	2.83e-24	114	93	82	10	1	372	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	311	0.881720430107527	0.29903536977492
ITSall_OTUd_1231	SH522501.07FU_KU579799	6.97e-88	325	254	226	25	2	606	k__Fungi;p__unclassified_Fungi;c__unclassified_Fungi;o__unclassified_Fungi;f__unclassified_Fungi;g__unclassified_Fungi;s__Fungi_sp;	Fungi	NA	NA	NA	NA	NA	NA	257	0.889763779527559	0.988326848249027
ITSall_OTUd_1232	SH010568.07FU_DQ241463	1.51e-103	378	304	270	24	6	575	k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Septobasidiales;f__Septobasidiaceae;g__Septobasidium;s__Septobasidium_sinuosum;	Fungi	Basidiomycota	Pucciniomycetes	Septobasidiales	Septobasidiaceae	Septobasidium	Septobasidium_sinuosum	303	0.888157894736842	1.003300330033
ITSall_OTUd_1233	SH521982.07FU_KY463702	4.38e-59	230	282	225	42	8	595	k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Orbilia;s__Orbilia_sp;	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbilia	NA	271	0.797872340425532	1.04059040590406
ITSall_OTUd_1234	SH521431.07FU_LC034175	6.38e-25	116	88	80	5	2	556	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Trypetheliales;f__Trypetheliaceae;g__Trypethelium;s__Trypethelium_eluteriae;	Fungi	Ascomycota	Dothideomycetes	Trypetheliales	Trypetheliaceae	Trypethelium	Trypethelium_eluteriae	251	0.909090909090909	0.350597609561753
